months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_Other,authorities_contacted_Police
0.6847599164926931,0.6444444444444444,0.3333333333333333,0.6031122619652349,0.0,0.5303482587064677,1.0,0.21739130434782608,0.0,0.5,0.6666666666666666,0.622800905765546,0.3034965034965035,0.6337308347529812,0.6542961378789784,2.5,1,6,3,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
0.47599164926931103,0.5111111111111111,1.0,0.47321373260813004,0.0,0.0,1.0,0.34782608695652173,0.0,0.0,0.0,0.04328514196133078,0.03636363636363636,0.03796544171331224,0.0432758837589634,2.5,1,6,2,0,0,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True
0.2797494780793319,0.22222222222222227,1.0,0.6069716154770608,0.0,0.3492537313432836,1.0,0.30434782608695654,0.6666666666666667,1.0,1.0,0.3009057655460721,0.358974358974359,0.18739352640545143,0.2897219776072462,1.0,0,7,2,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0.534446764091858,0.4888888888888889,1.0,0.6085822606023813,0.0,0.4865671641791045,0.4383438343834384,0.21739130434782608,0.0,0.5,0.6666666666666666,0.5512976833304303,0.29557109557109557,0.3085908980287174,0.6371870675556673,2.5,0,7,3,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
0.47599164926931103,0.5555555555555556,0.3333333333333333,0.7127600262659052,0.0,0.6567164179104478,0.5859585958595859,0.8695652173913043,0.0,0.0,0.3333333333333333,0.05573941821982233,0.06060606060606061,0.03163786809442687,0.05635929047678954,5.0,1,5,2,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True
0.534446764091858,0.4444444444444445,0.3333333333333333,0.5685391448713342,0.0,0.0,1.0,0.8260869565217391,0.6666666666666667,0.0,0.6666666666666666,0.5573941821982233,0.2988344988344988,0.3119980530542711,0.6442319788652661,2.5,0,7,3,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0.2860125260960334,0.3333333333333333,0.3333333333333333,0.5575433944965494,0.0,0.0,0.30693069306930687,0.0,0.6666666666666667,0.0,0.0,0.6841142658073507,1.0,0.34801654903869556,0.6287583343816833,2.5,1,7,2,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.34446764091858034,0.4000000000000001,0.3333333333333333,0.4359272979569586,0.0,0.0,1.0,1.0,0.6666666666666667,1.0,0.6666666666666666,0.44844103814666436,0.4372960372960373,0.45655877342419077,0.4121273116115235,1.0,1,5,4,0,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.056367432150313146,0.31111111111111117,0.0,0.6254630604735297,0.0,0.0,1.0,0.9130434782608695,0.0,0.5,0.3333333333333333,0.2403762410729838,0.12913752913752913,0.13482599172548065,0.27789659076613416,1.0,0,7,4,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
0.4425887265135699,0.5111111111111111,0.0,0.5465972024333131,0.0,0.0,0.6462646264626463,0.6086956521739131,0.0,1.0,0.3333333333333333,0.3675317888869535,0.2191142191142191,0.22876612314431735,0.41300792552522336,1.0,1,7,4,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
